,class_hits,class_nums_total,function_hits,function_nums_total,variable_hits,variable_nums_total,string_hits,string_nums_total,comment_hits,comment_nums_total,docstring_hits,docstring_nums_total,trained_on
the_stack_python_script_92568.py,0.0,0,1.0,3,0.8947368421052632,19,0.19230769230769232,26,0.2727272727272727,44,0.0,1,1
the_stack_python_script_80318.py,0.0,0,0.46153846153846156,13,0.8095238095238095,21,0.28,25,0.0,1,0.0,0,0
the_stack_python_script_1306.py,0.0,0,0.75,4,0.8333333333333334,24,0.125,24,0.14285714285714285,7,0.0,0,1
the_stack_python_script_15033.py,0.0,0,0.0,0,0.5,34,0.36,25,0.0,0,0.0,0,0
the_stack_python_script_19468.py,0.3333333333333333,9,1.0,5,0.8,10,0.2777777777777778,18,0.0,0,0.0,0,0
the_stack_python_script_7950.py,0.0,0,0.0,0,0.8888888888888888,9,0.6666666666666666,6,0.2,5,0.0,0,1
the_stack_python_script_12773.py,0.0,0,1.0,4,0.631578947368421,19,0.39473684210526316,38,0.25,20,0.0,1,1
the_stack_python_script_99944.py,0.6666666666666666,3,0.5,18,1.0,9,0.7777777777777778,9,0.36585365853658536,41,0.0,0,1
the_stack_python_script_12434.py,0.5,2,0.7,10,0.9090909090909091,11,0.3,20,0.0,2,0.0,7,1
the_stack_python_script_86247.py,0.0,0,0.4,5,1.0,1,0.5,2,0.0,0,0.0,0,0
the_stack_python_script_15792.py,0.0,0,0.5,2,0.25,4,0.0,2,0.0,1,0.0,0,1
the_stack_python_script_86728.py,1.0,1,0.5,2,1.0,5,0.0,0,0.0,12,0.0,0,1
the_stack_python_script_80253.py,1.0,3,0.5,12,0.6923076923076923,13,0.06666666666666667,15,0.16666666666666666,6,0.0,1,1
the_stack_python_script_79822.py,0.5,2,0.5,2,0.5,2,0.5,2,0.0,8,0.0,1,1
the_stack_python_script_10070.py,1.0,1,0.75,4,0.75,4,0.5,4,0.14285714285714285,7,0.0,0,1
the_stack_python_script_15716.py,0.0,0,0.42857142857142855,7,0.8235294117647058,17,0.14285714285714285,14,0.0,4,0.0,0,1
the_stack_python_script_86697.py,0.0,0,0.0,0,0.0,1,0.7435897435897436,39,0.25,4,0.0,0,1
the_stack_python_script_15695.py,0.0,0,0.0,0,0.625,8,0.0,3,0.0,1,0.0,0,1
the_stack_python_script_1375.py,0.0,0,1.0,2,0.6666666666666666,3,0.5,2,0.0,1,0.0,0,1
the_stack_python_script_18576.py,0.0,0,0.0,5,0.0,0,0.16666666666666666,12,0.0,0,0.0,1,0
the_stack_python_script_11554.py,0.0,0,0.8,5,0.9090909090909091,22,0.34615384615384615,26,0.0,3,0.0,0,1
the_stack_python_script_10615.py,0.0,0,0.0,0,0.3333333333333333,9,0.2222222222222222,27,0.2857142857142857,21,0.0,1,1
the_stack_python_script_11029.py,1.0,2,1.0,6,0.5714285714285714,7,0.0,3,0.0,0,0.0,0,0
the_stack_python_script_4317.py,1.0,1,1.0,13,0.8333333333333334,12,0.8333333333333334,6,0.0,1,0.6363636363636364,11,1
the_stack_python_script_14511.py,0.0,0,0.0,0,0.8,20,0.2,15,0.0,1,0.0,0,1
the_stack_python_script_18866.py,0.5,2,1.0,2,1.0,5,0.6666666666666666,6,0.2222222222222222,9,0.0,1,1
the_stack_python_script_17574.py,0.0,0,0.75,4,0.42857142857142855,7,0.2,10,0.3333333333333333,3,0.0,1,1
the_stack_python_script_86405.py,0.5,2,1.0,4,0.8235294117647058,17,0.4166666666666667,12,0.0,1,0.0,0,1
the_stack_python_script_14136.py,0.5,2,0.5,8,0.4444444444444444,18,0.1,10,0.10526315789473684,19,0.0,9,1
the_stack_python_script_86838.py,1.0,2,0.0,0,1.0,7,0.6,5,1.0,1,0.0,0,1
the_stack_python_script_11097.py,1.0,2,0.0,0,1.0,5,0.75,4,1.0,1,0.0,0,1
the_stack_python_script_9249.py,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,1
the_stack_python_script_18113.py,0.0,0,0.0,0,0.5,2,0.6666666666666666,3,0.5555555555555556,18,0.0,1,1
the_stack_python_script_15765.py,0.0,2,0.9090909090909091,22,0.6923076923076923,13,0.047619047619047616,21,0.2,5,0.0,0,1
the_stack_python_script_14683.py,1.0,3,0.7727272727272727,22,1.0,4,0.6,5,0.0,0,0.38461538461538464,13,1
the_stack_python_script_1502.py,0.0,0,1.0,1,1.0,1,1.0,1,0.0,0,0.0,0,0
the_stack_python_script_18850.py,1.0,1,0.8571428571428571,7,1.0,5,0.5,4,0.0,0,0.0,1,1
the_stack_python_script_8013.py,1.0,6,0.8,5,1.0,9,0.3333333333333333,6,0.0,0,0.0,0,0
the_stack_python_script_86385.py,0.0,2,0.8666666666666667,15,0.8,25,0.25,16,0.13513513513513514,37,0.5555555555555556,9,1
the_stack_python_script_14064.py,0.0,0,0.0,0,0.6842105263157895,19,0.2,10,0.0,2,0.0,2,1
the_stack_python_script_10672.py,0.6,5,0.75,8,0.8,15,0.3076923076923077,26,0.5384615384615384,13,0.0,6,1
the_stack_python_script_16319.py,0.0,0,0.0,0,0.7,10,0.0,2,0.019230769230769232,52,0.0,0,1
the_stack_python_script_14962.py,0.0,0,0.0,0,0.7142857142857143,7,0.18181818181818182,11,0.09090909090909091,33,0.0,0,1
the_stack_python_script_3211.py,1.0,2,0.0,0,0.11764705882352941,17,0.0,2,0.0,12,0.0,0,1
the_stack_python_script_18084.py,0.0,0,0.0,0,1.0,3,0.0,2,0.0,0,0.0,2,1
the_stack_python_script_71570.py,0.0,0,0.625,8,0.92,25,0.6,10,0.0,7,0.0,0,1
the_stack_python_script_18337.py,0.0,0,0.0,0,0.9285714285714286,14,0.3333333333333333,3,0.8333333333333334,12,0.0,0,1
the_stack_python_script_86952.py,0.0,0,0.0,4,0.9444444444444444,18,0.5,4,0.17391304347826086,23,0.0,2,1
the_stack_python_script_71293.py,0.0,2,1.0,12,1.0,10,0.5,10,0.0,0,0.0,0,0
the_stack_python_script_92854.py,0.0,0,0.0,0,1.0,4,0.6,10,0.0,1,0.0,0,1
the_stack_python_script_1654.py,1.0,3,0.5454545454545454,11,0.7272727272727273,11,0.3181818181818182,22,0.0,15,0.0,0,1
the_stack_python_script_71653.py,0.0,0,0.0,0,1.0,1,1.0,3,0.5,14,0.0,1,1
the_stack_python_script_79684.py,0.5,2,0.5,2,1.0,1,0.0,1,0.18181818181818182,33,0.0,1,0
the_stack_python_script_71685.py,0.5,2,0.5,6,0.875,8,0.2,10,0.0,4,0.0,0,1
the_stack_python_script_79987.py,0.4444444444444444,9,0.0,0,0.6666666666666666,3,0.3157894736842105,19,0.6666666666666666,12,0.0,8,1
the_stack_python_script_80092.py,0.0,1,0.9090909090909091,11,0.7777777777777778,9,0.6666666666666666,3,0.6666666666666666,3,0.42857142857142855,7,1
the_stack_python_script_1392.py,0.5,2,0.6666666666666666,6,0.8666666666666667,15,0.5714285714285714,14,0.0,1,0.0,1,1
the_stack_python_script_11101.py,0.0,0,0.5,2,1.0,7,0.0,6,0.0,0,0.0,0,0
the_stack_python_script_18624.py,0.6666666666666666,3,0.6,10,0.8636363636363636,22,0.058823529411764705,17,0.0,9,0.0,0,1
the_stack_python_script_17450.py,0.0,2,0.5,2,0.0,1,1.0,1,0.0,0,0.0,3,1
the_stack_python_script_79439.py,1.0,3,1.0,9,1.0,11,0.6,5,0.0,2,0.0,1,1
the_stack_python_script_17945.py,0.5,2,0.0,0,0.5,2,0.5,2,0.0,0,0.0,0,0
the_stack_python_script_43078.py,1.0,2,0.0,0,0.9166666666666666,12,0.15789473684210525,19,1.0,1,0.0,0,1
the_stack_python_script_1335.py,1.0,5,0.5625,16,0.6875,32,0.45454545454545453,22,0.2,5,0.0,1,1
the_stack_python_script_16760.py,0.0,2,0.8,10,0.8,10,0.16666666666666666,12,0.1111111111111111,9,0.0,0,1
the_stack_python_script_11489.py,1.0,2,0.0,0,0.75,4,0.0,5,0.375,24,0.0,0,1
the_stack_python_script_11653.py,0.0,0,1.0,3,0.9523809523809523,21,0.4411764705882353,34,0.0,5,0.0,0,1
the_stack_python_script_1623.py,0.0,0,0.0,0,1.0,2,0.5,2,0.0,0,0.0,0,0
the_stack_python_script_12671.py,1.0,4,0.375,16,1.0,8,0.4166666666666667,12,0.0,0,0.4,5,1
the_stack_python_script_14829.py,0.0,2,0.6666666666666666,9,0.9,10,0.625,16,0.0,0,0.0,0,0
the_stack_python_script_12763.py,1.0,2,0.6666666666666666,3,0.7142857142857143,7,0.2,20,0.0,0,0.0,0,0
the_stack_python_script_8707.py,1.0,2,0.0,0,0.8333333333333334,6,1.0,7,1.0,1,0.0,0,1
the_stack_python_script_16851.py,0.0,0,0.0,0,1.0,2,0.0,1,0.0,0,0.0,0,0
the_stack_python_script_80503.py,0.0,0,0.7142857142857143,7,0.7777777777777778,9,1.0,3,0.0,0,0.25,4,1
the_stack_python_script_16212.py,0.0,0,1.0,1,0.9615384615384616,26,0.26666666666666666,15,0.0,6,0.5,2,1
the_stack_python_script_1070.py,0.625,8,1.0,12,0.7142857142857143,7,0.3333333333333333,9,0.2,30,0.0,9,1
the_stack_python_script_1603.py,0.0,0,0.25,4,1.0,2,0.25,4,0.0,2,0.0,1,1
the_stack_python_script_12253.py,1.0,1,0.75,4,1.0,5,0.0,1,0.0,9,0.0,1,1
the_stack_python_script_42900.py,0.0,0,1.0,3,0.5,2,0.5714285714285714,7,0.75,12,0.0,1,1
the_stack_python_script_18869.py,0.0,0,0.0,0,0.8888888888888888,36,0.4,10,0.2413793103448276,29,0.0,0,1
